Time(s),radii001_radius,radii001_x,radii001_y,radii01_radius,radii01_x,radii01_y,radii02_radius,radii02_x,radii02_y,radii03_radius,radii03_x,radii03_y,radii04_radius,radii04_x,radii04_y,radii05_radius,radii05_x,radii05_y
0.000000,0.093899,0.077114,-0.053575,0.260429,-0.172364,-0.195228,0.251157,-0.149844,0.201561,0.341576,-0.241423,0.241638,0.436426,-0.039842,0.434603,0.540182,-0.008470,-0.540116
1.000000,0.093899,0.077114,-0.053575,0.260389,-0.172279,-0.195250,0.251157,-0.149844,0.201561,0.341576,-0.241423,0.241638,0.436439,-0.039868,0.434614,0.540182,-0.008470,-0.540116
2.000000,0.094362,0.074231,-0.058258,0.260044,-0.175810,-0.191608,0.251352,-0.145704,0.204812,0.341978,-0.237264,0.246281,0.437198,-0.033291,0.435929,0.540902,-0.013280,-0.540739
3.000000,0.097199,0.064668,-0.072565,0.259704,-0.188502,-0.178641,0.253814,-0.132103,0.216727,0.343713,-0.225862,0.259085,0.439628,-0.016769,0.439308,0.544243,-0.031396,-0.543337
4.000000,0.100227,0.054100,-0.084372,0.259370,-0.198207,-0.167293,0.255733,-0.120888,0.225357,0.345291,-0.216720,0.268809,0.441374,-0.001252,0.441372,0.546585,-0.045579,-0.544681
5.000000,0.101440,0.043990,-0.091406,0.259414,-0.206081,-0.157564,0.257908,-0.108408,0.234018,0.346118,-0.206483,0.277781,0.443017,0.011045,0.442879,0.548327,-0.057668,-0.545286
6.000000,0.103776,0.030516,-0.099188,0.259213,-0.214697,-0.145246,0.259697,-0.097421,0.240732,0.347493,-0.193792,0.288437,0.444185,0.023319,0.443573,0.550201,-0.072800,-0.545363
7.000000,0.105875,0.017890,-0.104352,0.258150,-0.220753,-0.133826,0.262009,-0.085392,0.247704,0.348864,-0.183798,0.296520,0.446194,0.038181,0.444557,0.552583,-0.086412,-0.545785
8.000000,0.107606,0.006350,-0.107419,0.257570,-0.227388,-0.120982,0.264225,-0.072722,0.254020,0.349679,-0.173794,0.303432,0.448402,0.052165,0.445357,0.553732,-0.099069,-0.544797
9.000000,0.109525,-0.007837,-0.109244,0.256748,-0.232213,-0.109529,0.265236,-0.060737,0.258188,0.350959,-0.162701,0.310967,0.449602,0.064356,0.444972,0.554768,-0.110450,-0.543663
10.000000,0.111599,-0.022410,-0.109325,0.255913,-0.236854,-0.096909,0.267071,-0.045859,0.263105,0.353254,-0.149893,0.319875,0.450846,0.079511,0.443779,0.557192,-0.125273,-0.542927
11.000000,0.112598,-0.034550,-0.107166,0.255665,-0.241188,-0.084814,0.268290,-0.033530,0.266186,0.354481,-0.138799,0.326177,0.452535,0.092212,0.443041,0.558542,-0.136998,-0.541480
