Time(s),Radius(m),X_center(m),Y_center(m)
0.000000,0.436426,-0.039842,0.434603
1.000000,0.436439,-0.039868,0.434614
2.000000,0.437198,-0.033291,0.435929
3.000000,0.439628,-0.016769,0.439308
4.000000,0.441374,-0.001252,0.441372
5.000000,0.443017,0.011045,0.442879
6.000000,0.444185,0.023319,0.443573
7.000000,0.446194,0.038181,0.444557
8.000000,0.448402,0.052165,0.445357
9.000000,0.449602,0.064356,0.444972
10.000000,0.450846,0.079511,0.443779
11.000000,0.452535,0.092212,0.443041
12.000000,0.453971,0.106176,0.441381
13.000000,0.455484,0.121577,0.438959
14.000000,0.456932,0.133919,0.436867
15.000000,0.458244,0.147526,0.433847
16.000000,0.460038,0.162244,0.430478
17.000000,0.461122,0.174006,0.427031
18.000000,0.462520,0.187316,0.422892
19.000000,0.464259,0.201225,0.418384
20.000000,0.466090,0.214732,0.413678
21.000000,0.467307,0.226170,0.408929
22.000000,0.469131,0.239476,0.403404
23.000000,0.470110,0.251697,0.397054
24.000000,0.471257,0.263892,0.390441
25.000000,0.472205,0.275403,0.383576
26.000000,0.473191,0.286812,0.376363
27.000000,0.474468,0.298624,0.368705
28.000000,0.475723,0.311111,0.359892
29.000000,0.476200,0.320893,0.351844
30.000000,0.477041,0.331161,0.343367
31.000000,0.478040,0.342057,0.333945
32.000000,0.478918,0.352141,0.324590
33.000000,0.479972,0.362111,0.315039
34.000000,0.480488,0.372000,0.304114
35.000000,0.481037,0.380214,0.294676
36.000000,0.481370,0.388647,0.284025
37.000000,0.482135,0.397367,0.273044
38.000000,0.482995,0.405746,0.262019
39.000000,0.483369,0.413261,0.250719
40.000000,0.484635,0.421376,0.239403
41.000000,0.486045,0.429469,0.227587
42.000000,0.486701,0.436228,0.215831
43.000000,0.487696,0.443073,0.203797
44.000000,0.487930,0.448748,0.191574
45.000000,0.489039,0.455218,0.178704
46.000000,0.489768,0.460825,0.165871
47.000000,0.490704,0.466292,0.152848
48.000000,0.490674,0.470347,0.139763
49.000000,0.490831,0.474186,0.126737
50.000000,0.490874,0.477719,0.112879
51.000000,0.490844,0.480708,0.099235
52.000000,0.491559,0.484058,0.085545
53.000000,0.491896,0.486646,0.071674
54.000000,0.492582,0.489187,0.057732
55.000000,0.493378,0.491451,0.043565
56.000000,0.494329,0.493430,0.029799
57.000000,0.496184,0.495926,0.016017
58.000000,0.497537,0.497533,0.001996
59.000000,0.498789,0.498643,-0.012068
60.000000,0.500272,0.499594,-0.026035
61.000000,0.501216,0.499650,-0.039586
