Time(s),Radius(m)
0.000000,0.404729
1.000000,0.404729
2.000000,0.405117
3.000000,0.408285
4.000000,0.411798
5.000000,0.416977
6.000000,0.423623
7.000000,0.428072
8.000000,0.430450
9.000000,0.425665
10.000000,0.428452
11.000000,0.435870
12.000000,0.425718
13.000000,0.429533
14.000000,0.434297
15.000000,0.431321
16.000000,0.425614
17.000000,0.438196
18.000000,0.453069
19.000000,0.466245
20.000000,0.479895
21.000000,0.493906
22.000000,0.505590
23.000000,0.518604
24.000000,0.531181
25.000000,0.540936
26.000000,0.552376
27.000000,0.561192
28.000000,0.570670
29.000000,0.576775
30.000000,0.580985
31.000000,0.584042
32.000000,0.584112
33.000000,0.581808
34.000000,0.582960
35.000000,0.577538
36.000000,0.564796
37.000000,0.556003
38.000000,0.548227
39.000000,0.541743
40.000000,0.536249
41.000000,0.529628
42.000000,0.524735
43.000000,0.517875
44.000000,0.510120
45.000000,0.503018
46.000000,0.495172
47.000000,0.486616
48.000000,0.478694
49.000000,0.471193
50.000000,0.463987
51.000000,0.455919
52.000000,0.447200
53.000000,0.435329
54.000000,0.422363
55.000000,0.402423
56.000000,0.377493
57.000000,0.377020
58.000000,0.378369
59.000000,0.380731
60.000000,0.383632
61.000000,0.386625
62.000000,0.390258
63.000000,0.394893
64.000000,0.399310
65.000000,0.403231
66.000000,0.404518
67.000000,0.405429
68.000000,0.406232
69.000000,0.406342
70.000000,0.407883
71.000000,0.408522
72.000000,0.408456
73.000000,0.411501
74.000000,0.412288
75.000000,0.414195
76.000000,0.416672
77.000000,0.419120
78.000000,0.424806
79.000000,0.430291
80.000000,0.435549
81.000000,0.442495
82.000000,0.449071
83.000000,0.456077
84.000000,0.463336
85.000000,0.470071
86.000000,0.477241
87.000000,0.485247
88.000000,0.492662
89.000000,0.499557
90.000000,0.506391
91.000000,0.512184
92.000000,0.522338
93.000000,0.530758
94.000000,0.539904
95.000000,0.548736
96.000000,0.558294
97.000000,0.567778
98.000000,0.575794
99.000000,0.583105
100.000000,0.592284
101.000000,0.599747
102.000000,0.607772
103.000000,0.616579
104.000000,0.625429
105.000000,0.635094
106.000000,0.644923
107.000000,0.654602
108.000000,0.664674
109.000000,0.671535
110.000000,0.676445
111.000000,0.680416
112.000000,0.676439
113.000000,0.672762
114.000000,0.672244
115.000000,0.671944
116.000000,0.668938
117.000000,0.662193
118.000000,0.659764
119.000000,0.658927
120.000000,0.659462
121.000000,0.659244
122.000000,0.657954
123.000000,0.655427
124.000000,0.656534
125.000000,0.658512
126.000000,0.662696
127.000000,0.665549
128.000000,0.667668
129.000000,0.667505
130.000000,0.669498
131.000000,0.668787
132.000000,0.664080
133.000000,0.650845
134.000000,0.652744
135.000000,0.657940
136.000000,0.658985
137.000000,0.660796
138.000000,0.663289
139.000000,0.666177
140.000000,0.671410
141.000000,0.677284
142.000000,0.677044
143.000000,0.676066
144.000000,0.674229
145.000000,0.671560
146.000000,0.668665
147.000000,0.665826
148.000000,0.657083
149.000000,0.652151
150.000000,0.645745
151.000000,0.639885
152.000000,0.633206
153.000000,0.625463
154.000000,0.618433
155.000000,0.610430
156.000000,0.602445
157.000000,0.594318
158.000000,0.583893
159.000000,0.572839
160.000000,0.561550
161.000000,0.553462
162.000000,0.546893
163.000000,0.534216
164.000000,0.523059
165.000000,0.513193
166.000000,0.503801
167.000000,0.493521
168.000000,0.484388
169.000000,0.473867
170.000000,0.463049
171.000000,0.455804
172.000000,0.448937
173.000000,0.442887
174.000000,0.438751
175.000000,0.435060
176.000000,0.432623
177.000000,0.426428
178.000000,0.422631
179.000000,0.417342
180.000000,0.413725
181.000000,0.408906
182.000000,0.406302
183.000000,0.401810
184.000000,0.398321
185.000000,0.397068
186.000000,0.396792
187.000000,0.398138
188.000000,0.401196
189.000000,0.403825
190.000000,0.406954
191.000000,0.407978
192.000000,0.404670
193.000000,0.402516
194.000000,0.400763
195.000000,0.398914
196.000000,0.397660
197.000000,0.398084
198.000000,0.397708
199.000000,0.397414
200.000000,0.393571
201.000000,0.390869
202.000000,0.392342
203.000000,0.393376
204.000000,0.393862
205.000000,0.394992
