Time(s),Radius(m)
0.000000,0.389835
1.000000,0.389835
2.000000,0.387062
3.000000,0.375274
4.000000,0.363568
5.000000,0.358252
6.000000,0.348463
7.000000,0.334631
8.000000,0.325484
9.000000,0.318777
10.000000,0.311859
11.000000,0.306045
12.000000,0.300239
13.000000,0.293885
14.000000,0.287594
15.000000,0.283433
16.000000,0.278949
17.000000,0.276513
18.000000,0.274511
19.000000,0.273885
20.000000,0.271973
21.000000,0.269455
22.000000,0.269001
23.000000,0.269464
24.000000,0.271442
25.000000,0.270943
26.000000,0.271099
27.000000,0.273875
28.000000,0.271867
29.000000,0.266608
30.000000,0.265339
31.000000,0.265466
32.000000,0.262958
33.000000,0.260177
34.000000,0.260332
35.000000,0.260439
36.000000,0.260176
37.000000,0.258872
38.000000,0.258306
39.000000,0.258770
40.000000,0.258388
41.000000,0.259723
42.000000,0.260855
43.000000,0.262969
44.000000,0.264973
45.000000,0.269607
46.000000,0.274170
47.000000,0.279123
48.000000,0.284929
49.000000,0.288455
50.000000,0.294958
51.000000,0.302862
52.000000,0.310456
53.000000,0.320120
54.000000,0.329565
55.000000,0.339037
56.000000,0.349579
57.000000,0.360230
58.000000,0.371253
59.000000,0.382194
60.000000,0.393141
61.000000,0.403633
62.000000,0.413966
63.000000,0.425980
64.000000,0.438066
65.000000,0.447928
66.000000,0.456885
67.000000,0.465995
68.000000,0.474377
69.000000,0.480414
70.000000,0.491081
71.000000,0.500786
72.000000,0.511519
73.000000,0.521834
74.000000,0.528206
75.000000,0.535051
76.000000,0.538962
77.000000,0.537727
78.000000,0.540630
79.000000,0.540689
80.000000,0.539730
81.000000,0.533299
82.000000,0.527943
83.000000,0.521914
84.000000,0.516179
85.000000,0.508692
86.000000,0.501848
87.000000,0.495520
88.000000,0.489483
89.000000,0.482760
90.000000,0.475806
91.000000,0.470524
92.000000,0.465174
93.000000,0.454129
94.000000,0.438307
95.000000,0.427954
96.000000,0.411085
97.000000,0.377590
98.000000,0.346869
99.000000,0.341115
100.000000,0.331330
101.000000,0.327747
102.000000,0.323693
103.000000,0.321420
104.000000,0.322927
105.000000,0.324448
106.000000,0.326800
107.000000,0.329089
108.000000,0.331072
109.000000,0.332473
110.000000,0.331364
111.000000,0.330261
112.000000,0.328105
113.000000,0.328424
114.000000,0.328046
115.000000,0.328288
116.000000,0.330203
117.000000,0.332250
118.000000,0.334192
119.000000,0.337795
120.000000,0.340671
121.000000,0.342848
122.000000,0.348545
123.000000,0.356161
124.000000,0.364054
125.000000,0.371341
126.000000,0.380251
127.000000,0.388583
128.000000,0.395947
129.000000,0.403770
130.000000,0.409991
131.000000,0.417412
132.000000,0.425255
133.000000,0.432357
134.000000,0.439638
135.000000,0.446844
136.000000,0.453674
137.000000,0.460629
138.000000,0.467923
139.000000,0.475037
140.000000,0.482767
141.000000,0.490511
142.000000,0.496818
143.000000,0.502575
144.000000,0.506878
145.000000,0.510794
146.000000,0.511430
147.000000,0.511608
148.000000,0.508749
149.000000,0.504956
150.000000,0.500045
151.000000,0.498268
152.000000,0.492846
153.000000,0.490671
154.000000,0.487092
155.000000,0.484379
156.000000,0.480879
157.000000,0.475435
158.000000,0.474080
159.000000,0.472113
160.000000,0.471448
161.000000,0.472853
162.000000,0.475218
163.000000,0.476092
164.000000,0.479473
165.000000,0.482506
166.000000,0.487187
167.000000,0.490620
168.000000,0.489647
169.000000,0.481406
170.000000,0.479709
171.000000,0.472291
172.000000,0.465676
173.000000,0.464593
174.000000,0.459771
175.000000,0.454415
176.000000,0.448910
177.000000,0.440753
178.000000,0.432143
179.000000,0.422814
180.000000,0.412309
181.000000,0.404151
182.000000,0.396856
183.000000,0.386834
184.000000,0.375517
185.000000,0.362537
186.000000,0.351785
187.000000,0.340164
188.000000,0.332030
189.000000,0.325920
190.000000,0.323047
191.000000,0.315599
192.000000,0.310418
193.000000,0.307497
194.000000,0.303767
195.000000,0.299381
196.000000,0.295747
197.000000,0.292806
198.000000,0.289740
199.000000,0.287316
200.000000,0.285210
201.000000,0.283942
202.000000,0.286157
203.000000,0.289968
204.000000,0.290103
205.000000,0.291777
206.000000,0.290762
207.000000,0.289746
208.000000,0.288683
209.000000,0.286431
210.000000,0.285071
211.000000,0.284532
212.000000,0.282731
213.000000,0.283051
214.000000,0.283860
215.000000,0.284443
216.000000,0.285339
217.000000,0.286980
218.000000,0.287514
219.000000,0.289189
220.000000,0.291245
221.000000,0.293921
222.000000,0.296807
223.000000,0.298684
224.000000,0.298616
225.000000,0.300874
226.000000,0.302061
227.000000,0.303303
228.000000,0.307022
229.000000,0.312025
230.000000,0.317236
231.000000,0.322269
232.000000,0.326015
233.000000,0.331522
234.000000,0.340620
235.000000,0.350322
236.000000,0.360258
237.000000,0.371296
238.000000,0.381843
239.000000,0.392134
240.000000,0.400319
241.000000,0.409179
242.000000,0.419173
243.000000,0.428188
244.000000,0.436389
245.000000,0.445239
246.000000,0.459585
247.000000,0.471395
248.000000,0.481241
249.000000,0.490606
250.000000,0.501519
