x,y,theta,hue_rad,saturation,is_anomaly
-0.615988,-0.450785,0.089472,2.228149,0.818895,0
-0.765291,-0.691978,-0.001846,2.214710,0.925679,0
-0.437968,-0.693611,0.124468,2.577777,0.741366,0
-0.616109,-0.450762,0.089465,2.228149,0.818895,0
-0.765433,-0.691879,-0.001768,2.214710,0.925679,0
-0.438132,-0.693520,0.125578,2.577777,0.741366,0
-0.613101,-0.447987,0.111215,2.227270,0.820137,0
-0.757735,-0.686503,0.013516,2.220559,0.926475,0
-0.434234,-0.689353,0.146015,2.582496,0.737738,0
-0.593343,-0.429732,0.174581,2.229802,0.819177,0
-0.735255,-0.665332,0.062172,2.220559,0.926475,0
-0.417714,-0.669598,0.190466,2.582496,0.737738,0
-0.566652,-0.406429,0.226508,2.228501,0.815298,0
-0.711918,-0.636080,0.089284,2.231655,0.896670,0
-0.399627,-0.646501,0.216802,2.557922,0.729093,0
-0.539709,-0.382815,0.261988,2.231706,0.796781,0
-0.686759,-0.607634,0.109131,2.251982,0.879022,0
-0.379904,-0.624548,0.241102,2.583734,0.722029,0
-0.511069,-0.359516,0.294339,2.220817,0.743971,0
-0.660228,-0.580756,0.128499,2.264058,0.865391,0
-0.359029,-0.601589,0.268832,2.583734,0.722029,0
-0.483387,-0.335590,0.323153,2.219554,0.738437,0
-0.634058,-0.553496,0.154313,2.219322,0.837002,0
-0.337585,-0.579900,0.301959,2.645001,0.661845,0
-0.453580,-0.309496,0.346150,2.228219,0.680035,0
-0.604004,-0.523308,0.180886,2.208150,0.839612,0
-0.313721,-0.555585,0.340932,2.640754,0.654906,0
-0.428832,-0.287932,0.368994,2.216237,0.653558,0
-0.579911,-0.498917,0.197972,2.208150,0.839612,0
-0.294608,-0.534210,0.362453,2.671196,0.638432,0
-0.401054,-0.264032,0.398331,2.216237,0.653558,0
-0.552437,-0.473237,0.215964,2.241709,0.808016,0
-0.273037,-0.511691,0.392795,2.670869,0.649564,0
-0.374803,-0.240662,0.425224,2.173102,0.610155,0
-0.527299,-0.445899,0.220799,2.241709,0.808016,0
-0.251671,-0.488751,0.423474,2.679892,0.605581,0
-0.350314,-0.218872,0.448595,2.149138,0.596080,0
-0.503601,-0.422267,0.230331,2.228080,0.779097,0
-0.231301,-0.468579,0.449630,2.679892,0.605581,0
-0.324637,-0.195185,0.472573,2.138777,0.574839,0
-0.478012,-0.395199,0.240694,2.228080,0.779097,0
-0.208423,-0.446021,0.482814,2.696655,0.589655,0
-0.297692,-0.171474,0.491529,2.116592,0.546348,0
-0.451377,-0.368254,0.252313,2.225184,0.716243,0
-0.185100,-0.422583,0.517415,2.714977,0.538102,0
-0.272753,-0.147494,0.504513,2.080212,0.521680,0
-0.426794,-0.340914,0.260388,2.225184,0.716243,0
-0.165215,-0.398448,0.544368,2.730660,0.539979,0
-0.245298,-0.120323,0.517372,2.031404,0.490206,0
-0.399568,-0.312854,0.261454,2.186951,0.668234,0
-0.140678,-0.373412,0.562407,2.732809,0.518127,0
-0.223941,-0.099926,0.513003,1.979298,0.436606,0
-0.379085,-0.294230,0.249660,2.186951,0.668234,0
-0.120910,-0.355237,0.564054,2.757294,0.495314,0
-0.203375,-0.080101,0.505185,1.910773,0.425450,0
