Time(s),Radius(m)
0.000000,0.176464
1.000000,0.176464
2.000000,0.176100
3.000000,0.174354
4.000000,0.174139
5.000000,0.173247
6.000000,0.170789
7.000000,0.168678
8.000000,0.166849
9.000000,0.166403
10.000000,0.165020
11.000000,0.165282
12.000000,0.165769
13.000000,0.166007
14.000000,0.166432
15.000000,0.165359
16.000000,0.164120
17.000000,0.161182
18.000000,0.154819
19.000000,0.141042
20.000000,0.119127
21.000000,0.120250
22.000000,0.122001
23.000000,0.123418
24.000000,0.126584
25.000000,0.132463
26.000000,0.138616
27.000000,0.145397
28.000000,0.151286
29.000000,0.158405
30.000000,0.164472
31.000000,0.171734
32.000000,0.177372
33.000000,0.180486
34.000000,0.181408
35.000000,0.183420
36.000000,0.186790
37.000000,0.193026
38.000000,0.198063
39.000000,0.197756
40.000000,0.195224
41.000000,0.192632
42.000000,0.190068
43.000000,0.189097
44.000000,0.187443
45.000000,0.187220
46.000000,0.188038
47.000000,0.189414
48.000000,0.192475
49.000000,0.195732
50.000000,0.200932
51.000000,0.206167
52.000000,0.212295
53.000000,0.218509
54.000000,0.222628
55.000000,0.225142
56.000000,0.227622
57.000000,0.232248
58.000000,0.235860
59.000000,0.239066
60.000000,0.242665
61.000000,0.246396
62.000000,0.252689
63.000000,0.260045
64.000000,0.263366
65.000000,0.265976
66.000000,0.268038
67.000000,0.267882
68.000000,0.265929
69.000000,0.264203
70.000000,0.262400
71.000000,0.259949
72.000000,0.259801
73.000000,0.259115
74.000000,0.260018
75.000000,0.261071
76.000000,0.259735
77.000000,0.255760
78.000000,0.253449
79.000000,0.248513
80.000000,0.239509
81.000000,0.225080
82.000000,0.210428
83.000000,0.203877
84.000000,0.199340
85.000000,0.197589
86.000000,0.195772
87.000000,0.192586
88.000000,0.185292
89.000000,0.180076
90.000000,0.179893
91.000000,0.182576
92.000000,0.178830
93.000000,0.172060
94.000000,0.168238
95.000000,0.165271
96.000000,0.161908
97.000000,0.160519
98.000000,0.159446
99.000000,0.159981
100.000000,0.161770
101.000000,0.161741
102.000000,0.161316
103.000000,0.158532
104.000000,0.155362
105.000000,0.151577
106.000000,0.147683
107.000000,0.146975
108.000000,0.148809
109.000000,0.151982
110.000000,0.156950
111.000000,0.163109
112.000000,0.170530
113.000000,0.177594
114.000000,0.185336
115.000000,0.193293
116.000000,0.201454
117.000000,0.208403
118.000000,0.213458
119.000000,0.219182
120.000000,0.224430
121.000000,0.225516
122.000000,0.227038
123.000000,0.226896
124.000000,0.230045
125.000000,0.233804
126.000000,0.235559
127.000000,0.235428
128.000000,0.235916
129.000000,0.235299
130.000000,0.234421
131.000000,0.230294
132.000000,0.225638
133.000000,0.221177
134.000000,0.219540
135.000000,0.218784
136.000000,0.217613
137.000000,0.215566
138.000000,0.216361
139.000000,0.219622
140.000000,0.222587
141.000000,0.226854
142.000000,0.231487
143.000000,0.236499
144.000000,0.240540
145.000000,0.245562
146.000000,0.250237
147.000000,0.253799
148.000000,0.259377
149.000000,0.265173
150.000000,0.272070
151.000000,0.276755
152.000000,0.281169
153.000000,0.287335
154.000000,0.293840
155.000000,0.299836
156.000000,0.304746
157.000000,0.309598
158.000000,0.313384
159.000000,0.315229
160.000000,0.318846
161.000000,0.320112
162.000000,0.321054
163.000000,0.319504
164.000000,0.315129
165.000000,0.312340
166.000000,0.308115
167.000000,0.303241
168.000000,0.295182
169.000000,0.293617
170.000000,0.294390
171.000000,0.295531
172.000000,0.297005
173.000000,0.298958
174.000000,0.298369
175.000000,0.297066
176.000000,0.295508
177.000000,0.294550
178.000000,0.293572
179.000000,0.291445
180.000000,0.285650
181.000000,0.280041
182.000000,0.269408
183.000000,0.253180
184.000000,0.239563
185.000000,0.229510
186.000000,0.220941
187.000000,0.214608
188.000000,0.210883
189.000000,0.209078
190.000000,0.203327
191.000000,0.196205
192.000000,0.189417
193.000000,0.186219
194.000000,0.185917
195.000000,0.183562
196.000000,0.179862
197.000000,0.178229
198.000000,0.177074
199.000000,0.181962
200.000000,0.179335
201.000000,0.178439
202.000000,0.177523
203.000000,0.174345
204.000000,0.173379
205.000000,0.170887
206.000000,0.171068
207.000000,0.168783
208.000000,0.167797
209.000000,0.165669
210.000000,0.165443
211.000000,0.167279
212.000000,0.171046
213.000000,0.176118
214.000000,0.183190
215.000000,0.190483
216.000000,0.198710
217.000000,0.206868
218.000000,0.214642
219.000000,0.222965
220.000000,0.231841
221.000000,0.240484
222.000000,0.245557
223.000000,0.253119
224.000000,0.263444
225.000000,0.275379
226.000000,0.285924
227.000000,0.286963
228.000000,0.289552
229.000000,0.294068
230.000000,0.293316
231.000000,0.295976
232.000000,0.297117
233.000000,0.296973
234.000000,0.295511
235.000000,0.293650
236.000000,0.291515
237.000000,0.288544
238.000000,0.282897
239.000000,0.272270
240.000000,0.269709
241.000000,0.263064
242.000000,0.257614
243.000000,0.256033
244.000000,0.255023
245.000000,0.254598
246.000000,0.253433
247.000000,0.252186
248.000000,0.250468
249.000000,0.248472
250.000000,0.248755
251.000000,0.249778
252.000000,0.250886
253.000000,0.253765
254.000000,0.258187
255.000000,0.262255
256.000000,0.265233
257.000000,0.266819
258.000000,0.270120
259.000000,0.274291
260.000000,0.280527
261.000000,0.286029
262.000000,0.290712
263.000000,0.295962
264.000000,0.302601
265.000000,0.308051
266.000000,0.313151
267.000000,0.318056
268.000000,0.322080
269.000000,0.324831
270.000000,0.327022
271.000000,0.328608
272.000000,0.330182
273.000000,0.329392
274.000000,0.326584
275.000000,0.323326
276.000000,0.320562
277.000000,0.317400
278.000000,0.312799
279.000000,0.305518
280.000000,0.299702
281.000000,0.298898
282.000000,0.300728
283.000000,0.302319
284.000000,0.301302
285.000000,0.300722
286.000000,0.299563
287.000000,0.297217
288.000000,0.291554
289.000000,0.284328
290.000000,0.275741
291.000000,0.262275
292.000000,0.248562
293.000000,0.237235
294.000000,0.229663
295.000000,0.224352
296.000000,0.220346
297.000000,0.218012
298.000000,0.213593
299.000000,0.209801
300.000000,0.204482
301.000000,0.199362
302.000000,0.195511
