x1,y1,theta1,hue1,sat1,x2,y2,theta2,hue2,sat2,x3,y3,theta3,hue3,sat3
-0.756629,-0.582886,-0.105530,0.103926,0.798614,-0.530226,-0.409526,0.263048,0.102761,0.172915,-0.346627,-0.616328,-0.162934,0.663145,0.686088
-0.756112,-0.582421,-0.105568,0.103926,0.798614,-0.530428,-0.409366,0.264010,0.102761,0.172915,-0.346659,-0.616255,-0.160732,0.663145,0.686088
-0.749174,-0.585867,-0.092694,0.103926,0.798614,-0.529121,-0.410764,0.259712,0.103076,0.173507,-0.340547,-0.618017,-0.153150,0.663515,0.687279
-0.732962,-0.593135,-0.088525,0.102842,0.806744,-0.516407,-0.419533,0.255556,0.105989,0.173507,-0.324865,-0.622969,-0.144290,0.663515,0.685959
-0.712632,-0.600381,-0.073116,0.099554,0.791583,-0.501876,-0.429228,0.248727,0.103931,0.182715,-0.310506,-0.626648,-0.136981,0.664527,0.671543
-0.696746,-0.606309,-0.053227,0.105721,0.787731,-0.490357,-0.434178,0.256560,0.114612,0.191492,-0.297236,-0.630586,-0.124817,0.673718,0.668740
-0.685182,-0.608636,-0.048046,0.110435,0.751626,-0.480180,-0.437139,0.256442,0.116939,0.191492,-0.285619,-0.631182,-0.127486,0.673718,0.663920
-0.666714,-0.614790,-0.049996,0.103664,0.777322,-0.464500,-0.445863,0.261333,0.112537,0.191457,-0.267550,-0.637142,-0.118895,0.634542,0.662748
-0.653086,-0.617962,-0.043228,0.112096,0.760840,-0.452304,-0.450755,0.259705,0.118855,0.191457,-0.255162,-0.638775,-0.122767,0.634542,0.686576
-0.651163,-0.612625,-0.038004,0.110114,0.766858,-0.448208,-0.439738,0.254825,0.117969,0.191158,-0.253401,-0.628528,-0.116042,0.643707,0.681956
-0.648018,-0.606718,-0.040540,0.109860,0.766177,-0.443613,-0.430218,0.255780,0.119683,0.199116,-0.251063,-0.622713,-0.120207,0.585771,0.665052
-0.644710,-0.600075,-0.037431,0.110066,0.773211,-0.438255,-0.424033,0.250611,0.117422,0.199116,-0.248572,-0.614679,-0.118452,0.585771,0.644157
-0.646314,-0.586272,-0.026522,0.110066,0.773211,-0.434527,-0.406621,0.257714,0.114317,0.197570,-0.250079,-0.597717,-0.110841,0.592931,0.645591
-0.647290,-0.570812,-0.029821,0.108111,0.758921,-0.431565,-0.390713,0.263517,0.114039,0.194767,-0.249616,-0.582622,-0.103795,0.611142,0.627675
-0.647657,-0.558639,-0.040135,0.104754,0.751130,-0.427757,-0.377744,0.258826,0.111710,0.188550,-0.247489,-0.569423,-0.103425,0.624136,0.638570
-0.644182,-0.549493,-0.037244,0.104002,0.740309,-0.423207,-0.367673,0.256013,0.113160,0.191080,-0.244020,-0.559566,-0.102496,0.604514,0.612735
-0.640109,-0.540589,-0.024385,0.105092,0.731680,-0.419198,-0.357614,0.251644,0.110321,0.188495,-0.239376,-0.549635,-0.096569,0.611985,0.615384
-0.637636,-0.530865,-0.024736,0.104040,0.720416,-0.414998,-0.344652,0.255074,0.106578,0.187680,-0.237881,-0.536473,-0.100376,0.621390,0.607237
-0.633480,-0.522732,-0.023314,0.099557,0.726632,-0.410608,-0.334253,0.254608,0.107568,0.189642,-0.233266,-0.525875,-0.092838,0.599218,0.589533
-0.629482,-0.512395,-0.026208,0.097414,0.725206,-0.406358,-0.324495,0.256917,0.104600,0.190568,-0.228009,-0.515565,-0.083147,0.586709,0.575893
-0.626657,-0.500934,-0.019889,0.102783,0.703932,-0.401929,-0.310398,0.262832,0.099407,0.190500,-0.225256,-0.502470,-0.083785,0.578876,0.578031
-0.623798,-0.488273,-0.005777,0.097992,0.730635,-0.397162,-0.297033,0.268198,0.102074,0.188722,-0.222393,-0.487540,-0.078187,0.583041,0.563258
-0.621778,-0.473783,-0.009221,0.095092,0.724172,-0.391989,-0.282407,0.277804,0.097511,0.189773,-0.219994,-0.473326,-0.073739,0.572145,0.597666
-0.618163,-0.459962,-0.006005,0.098340,0.722728,-0.387539,-0.268479,0.279471,0.096341,0.178962,-0.216472,-0.458976,-0.066556,0.588212,0.549768
