Time(s),radius001,radius01,radius02,radius03,radius04
0.000000,0.035933,0.473894,0.196404,0.244775,0.469698
1.000000,0.035933,0.473894,0.196404,0.244775,0.469698
2.000000,0.037894,0.480856,0.195777,0.244905,0.468571
3.000000,0.050585,0.495824,0.195328,0.245589,0.464064
4.000000,0.059250,0.512809,0.195848,0.246619,0.460699
5.000000,0.073540,0.524935,0.197643,0.247887,0.457512
6.000000,0.077985,0.538759,0.200743,0.247722,0.451640
7.000000,0.077270,0.547103,0.205258,0.244918,0.446603
8.000000,0.078795,0.538790,0.209636,0.243001,0.440665
9.000000,0.083006,0.530752,0.213172,0.241643,0.436801
10.000000,0.087397,0.524816,0.218512,0.241499,0.431489
11.000000,0.092391,0.521854,0.222372,0.244958,0.427365
12.000000,0.097968,0.518890,0.227173,0.250886,0.423554
13.000000,0.104325,0.517654,0.231468,0.258389,0.420315
14.000000,0.110742,0.515931,0.235989,0.265416,0.416965
15.000000,0.119307,0.514550,0.240302,0.273335,0.413647
16.000000,0.130243,0.509306,0.245880,0.283869,0.409433
17.000000,0.137431,0.505891,0.248763,0.291391,0.406919
18.000000,0.146898,0.500748,0.252249,0.301775,0.403552
19.000000,0.158364,0.494579,0.255300,0.312703,0.401524
20.000000,0.167456,0.488419,0.257980,0.324291,0.399048
21.000000,0.177675,0.481664,0.260052,0.336094,0.397659
22.000000,0.187187,0.474555,0.261545,0.348141,0.396094
23.000000,0.196723,0.468721,0.258653,0.360681,0.394506
24.000000,0.206299,0.463705,0.257785,0.373004,0.392974
25.000000,0.215019,0.460441,0.256407,0.385848,0.392066
26.000000,0.222131,0.457437,0.253448,0.398981,0.391291
27.000000,0.228485,0.453550,0.250724,0.412382,0.391101
28.000000,0.229558,0.448469,0.247141,0.425843,0.391671
29.000000,0.218650,0.446582,0.244719,0.439577,0.392132
30.000000,0.210733,0.448228,0.243006,0.453019,0.394240
31.000000,0.204097,0.450558,0.244418,0.466757,0.396300
32.000000,0.197748,0.450451,0.247821,0.480515,0.398089
33.000000,0.191399,0.447056,0.253547,0.494360,0.399447
34.000000,0.186133,0.436122,0.259019,0.506416,0.401603
35.000000,0.181640,0.429077,0.265204,0.515200,0.403282
36.000000,0.178400,0.425242,0.272021,0.528993,0.405330
37.000000,0.176592,0.421955,0.279739,0.543240,0.408236
38.000000,0.175894,0.419736,0.287993,0.557609,0.410886
39.000000,0.177103,0.414338,0.297200,0.571557,0.413079
40.000000,0.180157,0.408188,0.306898,0.584081,0.416306
41.000000,0.183722,0.402612,0.317479,0.596246,0.419711
42.000000,0.189243,0.396564,0.327775,0.607379,0.424208
43.000000,0.196746,0.390948,0.339007,0.618257,0.428543
44.000000,0.205262,0.384727,0.350811,0.628027,0.432628
45.000000,0.214025,0.378177,0.363381,0.639997,0.436560
46.000000,0.223394,0.371554,0.375867,0.652249,0.440184
47.000000,0.234203,0.366017,0.387965,0.657448,0.444237
48.000000,0.246104,0.358758,0.400686,0.644677,0.449121
49.000000,0.257478,0.350674,0.412634,0.646632,0.452747
50.000000,0.270488,0.343391,0.425186,0.654908,0.456179
51.000000,0.283526,0.336636,0.437886,0.668635,0.459644
52.000000,0.296413,0.330601,0.450574,0.680517,0.458115
53.000000,0.309205,0.325319,0.463556,0.692487,0.455267
54.000000,0.322483,0.319846,0.476732,0.702529,0.447665
55.000000,0.336317,0.313969,0.490550,0.705169,0.439855
56.000000,0.350584,0.308741,0.504205,0.690795,0.432832
57.000000,0.364712,0.304238,0.517460,0.678953,0.425907
58.000000,0.379051,0.299518,0.530889,0.666644,0.418043
59.000000,0.393169,0.295233,0.543734,0.654088,0.409283
60.000000,0.407307,0.291380,0.556622,0.649135,0.400141
61.000000,0.417090,0.287886,0.569900,0.663003,0.391755
62.000000,0.412436,0.284431,0.583437,0.676193,0.382950
63.000000,0.410863,0.281328,0.597052,0.681105,0.373416
64.000000,0.410212,0.279147,0.610187,0.668210,0.362297
65.000000,0.409640,0.277124,0.623622,0.657698,0.354499
66.000000,0.410569,0.275059,0.637491,0.656153,0.345326
67.000000,0.411450,0.273364,0.650845,0.666579,0.334979
68.000000,0.412582,0.272152,0.663870,0.664718,0.322326
69.000000,0.414760,0.270936,0.676866,0.653590,0.307150
70.000000,0.417889,0.271006,0.690224,0.644657,0.296649
71.000000,0.420390,0.270881,0.700751,0.634415,0.288203
72.000000,0.424232,0.271767,0.699247,0.623307,0.280916
73.000000,0.431113,0.272179,0.686190,0.617209,0.272210
74.000000,0.435768,0.272798,0.667870,0.614506,0.262618
75.000000,0.438184,0.273553,0.650075,0.605917,0.252020
76.000000,0.441539,0.275039,0.652506,0.598168,0.244196
77.000000,0.439005,0.275509,0.668844,0.593964,0.238980
78.000000,0.438081,0.276577,0.682590,0.592215,0.234438
79.000000,0.438592,0.279037,0.691454,0.587222,0.231395
80.000000,0.440519,0.280878,0.687698,0.581928,0.230474
81.000000,0.440051,0.282144,0.670184,0.579676,0.229120
82.000000,0.439360,0.282931,0.666062,0.576842,0.229791
83.000000,0.432925,0.284132,0.680395,0.572153,0.231203
84.000000,0.420473,0.285325,0.679007,0.565853,0.233935
85.000000,0.412196,0.281510,0.667680,0.558891,0.236438
86.000000,0.406985,0.273137,0.663777,0.551979,0.241017
87.000000,0.399733,0.262776,0.670693,0.544415,0.245670
88.000000,0.392568,0.247008,0.663134,0.537142,0.250264
89.000000,0.386141,0.233066,0.654786,0.530497,0.255595
90.000000,0.378600,0.221945,0.648782,0.523028,0.260754
91.000000,0.369330,0.213535,0.636729,0.515170,0.265696
92.000000,0.362119,0.207054,0.634514,0.508580,0.271000
93.000000,0.355706,0.200290,0.635835,0.502489,0.276178
94.000000,0.350358,0.193738,0.633648,0.496721,0.281155
95.000000,0.345004,0.190099,0.626376,0.490111,0.285010
96.000000,0.336910,0.188526,0.616614,0.484138,0.288586
97.000000,0.329170,0.187923,0.607497,0.479422,0.294145
98.000000,0.320420,0.189244,0.602026,0.473385,0.298535
99.000000,0.313492,0.191925,0.599770,0.469295,0.301821
100.000000,0.307691,0.195107,0.592950,0.466242,0.304818
101.000000,0.302049,0.199344,0.587233,0.462128,0.307858
102.000000,0.295393,0.203144,0.581549,0.455436,0.310572
103.000000,0.290108,0.208172,0.576750,0.448889,0.313314
104.000000,0.285174,0.211810,0.572319,0.446482,0.315825
105.000000,0.280135,0.215192,0.567859,0.446805,0.317395
106.000000,0.275615,0.218176,0.563312,0.444892,0.317792
107.000000,0.271491,0.220616,0.557630,0.441898,0.317736
108.000000,0.267696,0.224480,0.550781,0.438896,0.318724
109.000000,0.264009,0.228406,0.543392,0.436151,0.321440
110.000000,0.259727,0.231589,0.537300,0.432333,0.323305
111.000000,0.254884,0.234167,0.528920,0.428921,0.327092
112.000000,0.250872,0.237250,0.521621,0.425261,0.330897
113.000000,0.247592,0.239331,0.514287,0.421355,0.335081
114.000000,0.244538,0.238425,0.506352,0.417699,0.339067
115.000000,0.240902,0.232080,0.499710,0.412957,0.343278
116.000000,0.239781,0.226615,0.492419,0.409693,0.348926
117.000000,0.239839,0.222781,0.483987,0.405433,0.354256
118.000000,0.239628,0.218967,0.475111,0.401190,0.360717
119.000000,0.238843,0.216278,0.467559,0.397640,0.366972
120.000000,0.239140,0.212405,0.459155,0.393844,0.374665
121.000000,0.238956,0.209229,0.452812,0.390487,0.383231
122.000000,0.239368,0.206983,0.448973,0.387459,0.391798
123.000000,0.240232,0.205237,0.444709,0.384271,0.401122
124.000000,0.241946,0.203778,0.446962,0.381543,0.410293
125.000000,0.243461,0.204373,0.445871,0.379581,0.420773
126.000000,0.245170,0.205742,0.447206,0.376774,0.431639
127.000000,0.246056,0.209440,0.446264,0.374839,0.442144
128.000000,0.245781,0.214322,0.440853,0.372845,0.453209
129.000000,0.243890,0.221680,0.439421,0.371100,0.464652
130.000000,0.241440,0.229076,0.437352,0.369225,0.476455
131.000000,0.237208,0.237845,0.433763,0.367608,0.488544
132.000000,0.230053,0.246199,0.430319,0.366538,0.500761
133.000000,0.221594,0.256224,0.426740,0.365899,0.512650
134.000000,0.212534,0.266866,0.422583,0.366030,0.524760
135.000000,0.203849,0.277241,0.416507,0.366366,0.537569
136.000000,0.194348,0.286424,0.410769,0.367794,0.549966
137.000000,0.187213,0.297994,0.407180,0.369105,0.562418
138.000000,0.183473,0.309849,0.401891,0.370754,0.575074
139.000000,0.181718,0.322786,0.395914,0.372054,0.587641
140.000000,0.181139,0.335481,0.391908,0.373581,0.600423
141.000000,0.181568,0.348526,0.386937,0.375340,0.613244
142.000000,0.183435,0.361973,0.380117,0.377336,0.626610
143.000000,0.186441,0.375331,0.375265,0.379664,0.639879
144.000000,0.189177,0.388596,0.370034,0.381603,0.652676
145.000000,0.192166,0.401698,0.364482,0.382953,0.666545
146.000000,0.195378,0.415434,0.358922,0.385941,0.679127
147.000000,0.197516,0.428946,0.355020,0.389019,0.692029
148.000000,0.200565,0.442440,0.351433,0.391855,0.704140
149.000000,0.204361,0.456345,0.346965,0.395801,0.714828
150.000000,0.209067,0.469643,0.344155,0.398880,0.720528
151.000000,0.213489,0.482887,0.339342,0.402718,0.717980
152.000000,0.219071,0.496435,0.335741,0.405956,0.717712
153.000000,0.222571,0.510524,0.332484,0.406404,0.723855
154.000000,0.227410,0.523710,0.329462,0.406522,0.727716
155.000000,0.229501,0.537611,0.327016,0.406706,0.716059
156.000000,0.226630,0.551219,0.324997,0.405616,0.709316
157.000000,0.214045,0.565053,0.323333,0.403233,0.724173
158.000000,0.208069,0.578271,0.322189,0.399458,0.738224
159.000000,0.201569,0.593288,0.321660,0.393994,0.742430
160.000000,0.195381,0.602911,0.320468,0.385467,0.727795
161.000000,0.188950,0.615033,0.320267,0.377770,0.723523
162.000000,0.183453,0.626271,0.320819,0.369849,0.746142
163.000000,0.178655,0.637754,0.322283,0.361392,0.760205
164.000000,0.175071,0.646192,0.324101,0.348653,0.745340
165.000000,0.171957,0.652917,0.326171,0.334363,0.729318
166.000000,0.169832,0.648143,0.328474,0.319686,0.716379
167.000000,0.169079,0.636114,0.332087,0.303961,0.710469
168.000000,0.169662,0.626289,0.334352,0.292850,0.724785
169.000000,0.172298,0.616586,0.337077,0.282551,0.739800
170.000000,0.177532,0.607037,0.340858,0.277165,0.745057
171.000000,0.182575,0.599133,0.343537,0.273296,0.731523
172.000000,0.191393,0.592891,0.347937,0.265834,0.723556
173.000000,0.201868,0.586961,0.350124,0.255553,0.713154
174.000000,0.210935,0.583271,0.352528,0.242231,0.703054
175.000000,0.218361,0.579380,0.354135,0.233389,0.690681
176.000000,0.227351,0.573145,0.354685,0.223138,0.671683
177.000000,0.232635,0.567275,0.354028,0.218012,0.668984
178.000000,0.243481,0.560650,0.352394,0.213520,0.684654
179.000000,0.255535,0.552644,0.349919,0.212228,0.697669
180.000000,0.265539,0.544625,0.344881,0.209509,0.709955
181.000000,0.274208,0.536543,0.338923,0.209853,0.713015
182.000000,0.284752,0.528211,0.333293,0.211972,0.703800
183.000000,0.298986,0.518766,0.326182,0.215453,0.707606
184.000000,0.312564,0.509257,0.316211,0.219662,0.695544
185.000000,0.326240,0.501503,0.302662,0.224624,0.686183
186.000000,0.339712,0.493304,0.288922,0.229088,0.681942
187.000000,0.353650,0.485522,0.274688,0.235564,0.676310
188.000000,0.367554,0.479175,0.260594,0.240488,0.680474
189.000000,0.381456,0.470978,0.250341,0.244967,0.694008
190.000000,0.395885,0.464444,0.238911,0.248506,0.700485
191.000000,0.410213,0.459500,0.228581,0.253243,0.688122
192.000000,0.418708,0.455815,0.219226,0.256515,0.680622
193.000000,0.413912,0.450988,0.213530,0.259592,0.673185
194.000000,0.411514,0.449435,0.207009,0.260720,0.668196
195.000000,0.410995,0.451417,0.200567,0.262951,0.676019
196.000000,0.410692,0.451623,0.195117,0.265611,0.670047
197.000000,0.412232,0.453718,0.192276,0.267064,0.683170
198.000000,0.413874,0.454493,0.191533,0.268942,0.694995
199.000000,0.416243,0.447493,0.192896,0.270837,0.700107
200.000000,0.418085,0.437262,0.193647,0.272557,0.690078
201.000000,0.419037,0.433207,0.196154,0.273741,0.681261
202.000000,0.421609,0.428886,0.199879,0.273270,0.674276
203.000000,0.425401,0.425125,0.204354,0.273738,0.666382
204.000000,0.430323,0.419852,0.208807,0.273891,0.657798
205.000000,0.435840,0.413527,0.212628,0.270670,0.655728
206.000000,0.440071,0.407583,0.217710,0.271969,0.671280
207.000000,0.442849,0.400124,0.222107,0.270136,0.678295
208.000000,0.438303,0.393482,0.226612,0.269091,0.670421
